15,15,15,7,7,0,0,0,0,0
5,15,4,7,0,0,0,0,0,0
5,15,4,7,7,0,0,0,0,0
5,5,4,4,14,0,0,0,0,0
3,5,4,14,14,0,0,0,0,0
3,3,3,3,14,14,0,0,0,0

16,13,4,4,4,4,0,0,0,0
16,13,13,13,4,0,0,0,0,0
16,14,14,13,5,0,0,0,0,0
16,15,14,14,5,0,0,0,0,0
16,15,14,5,5,0,0,0,0,0
15,15,15,5,0,0,0,0,0,0

4,4,4,4,0,0,0,0,0,0
3,3,4,13,0,0,0,0,0,0
3,13,13,13,0,0,0,0,0,0
3,13,8,15,0,0,0,0,0,0
3,8,8,15,0,0,0,0,0,0
8,8,15,15,15,0,0,0,0,0

6,6,6,0,0,0,0,0,0,0
6,7,7,9,0,0,0,0,0,0
6,7,9,9,9,0,0,0,0,0
3,7,7,9,0,0,0,0,0,0
3,3,3,3,0,0,0,0,0,0
16,16,16,16,16,0,0,0,0,0

4,15,15,15,0,0,0,0,0,0
4,4,15,8,0,0,0,0,0,0
4,5,15,8,8,0,0,0,0,0
4,5,13,13,8,8,0,0,0,0
5,5,13,3,0,0,0,0,0,0
5,13,13,3,3,3,3,0,0,0

10,10,7,7,9,0,0,0,0,0,0,0
10,10,7,9,9,9,0,0,0,0,0,0
10,14,7,7,9,15,0,0,0,0,0,0
14,14,14,5,5,15,0,0,0,0,0,0
14,5,5,5,15,15,15,0,0,0,0,0

3,3,3,3,9,0,0,0,0,0
3,8,8,9,9,9,0,0,0,0
7,7,8,8,9,0,0,0,0,0
7,5,5,8,0,0,0,0,0,0
7,7,5,5,5,0,0,0,0,0
16,16,16,16,16,0,0,0,0,0

16,16,16,16,16,0,0,0,0,0
15,15,15,5,5,5,0,0,0,0
3,15,5,5,0,0,0,0,0,0
3,15,9,7,7,0,0,0,0,0
3,15,15,15,7,0,0,0,0,0
3,3,9,7,7,0,0,0,0,0

7,7,9,16,16,16,16,16,0,0
7,9,9,9,0,0,0,0,0,0
7,7,9,0,0,0,0,0,0,0
6,6,6,0,0,0,0,0,0,0
6,10,10,0,0,0,0,0,0,0
6,10,10,10,0,0,0,0,0,0

4,4,4,4,0,0,0,0,0,0
10,10,4,0,0,0,0,0,0,0
10,10,10,0,0,0,0,0,0,0
6,6,6,13,0,0,0,0,0,0
6,13,13,13,0,3,0,0,0,0
6,13,3,3,3,3,0,0,0,0

3,3,3,3,0,0,0,0,0,0
6,6,6,3,9,0,0,0,0,0
6,15,8,9,9,9,0,0,0,0
6,15,8,8,9,0,0,0,0,0
15,15,15,8,8,0,0,0,0,0
16,16,16,16,16,0,0,0,0,0

10,10,10,14,14,0,0,0,0,0
10,10,8,8,14,14,0,0,0,0
6,8,8,9,14,0,0,0,0,0
6,8,9,9,9,0,0,0,0,0
6,6,6,9,0,0,0,0,0,0
16,16,16,16,16,0,0,0,0,0

16,10,10,8,0,0,0,0,0,0
16,10,10,8,8,0,0,0,0,0
16,10,7,7,8,8,0,0,0,0
16,13,13,7,6,0,0,0,0,0
16,13,7,7,6,0,0,0,0,0
13,13,6,6,6,0,0,0,0,0

3,3,4,4,4,4,0,0,0,0
3,5,5,5,4,0,0,0,0,0
3,15,8,5,5,0,0,0,0,0
3,15,8,8,0,0,0,0,0,0
15,15,15,8,8,0,0,0,0,0
16,16,16,16,16,0,0,0,0,0

